config,rankicir,sharpe,maxdd,delta_bp_vs_d2c,track
D2c baseline,0.7505253102318763,1.8094287076014652,-0.33525162537859543,0.0,baseline
D2e Δα=+0.1 on anomaly days,0.7468808216807229,1.8022316867069406,-0.33525162537859543,-36.44488551153402,A
D2e Δα=+0.2 on anomaly days,0.7429155107187595,1.7987758957937465,-0.33525162537859543,-76.09799513116799,A
D2e Δα=+0.3 on anomaly days,0.7414484609871816,1.7917953344789046,-0.33525162537859543,-90.76849244694651,A
D2f B_1d gamma=-0.3,0.777392964377621,1.7849508338255002,-0.3418061069075916,268.67654145744655,B
D2f B_1d gamma=-0.2,0.7727404380171193,1.7894889064814328,-0.3389760529916298,222.15127785243038,B
D2f B_1d gamma=-0.1,0.763923918542897,1.805225696310868,-0.33815444410211226,133.9860831102069,B
D2f B_1d gamma=+0.1,0.7333002092420058,1.8082181807544102,-0.33491993998321457,-172.25100989870512,B
D2f B_1d gamma=+0.2,0.7123433790262255,1.8173383061305748,-0.3352923266128446,-381.8193120565083,B
D2f B_1d gamma=+0.3,0.6874869951375943,1.7874093306413428,-0.3365869600146747,-630.3831509428204,B
D2f B_5d gamma=-0.3,0.6567695276316616,1.7864594141122323,-0.33735647051298057,-937.5578260021466,B
D2f B_5d gamma=-0.2,0.6932735497543695,1.8089816180009222,-0.33646109027925397,-572.517604775068,B
D2f B_5d gamma=-0.1,0.7246123734043944,1.8236542994250613,-0.3335567087386516,-259.1293682748186,B
D2f B_5d gamma=+0.1,0.7712111726260985,1.7859142925392075,-0.33768599250441367,206.8586239422221,B
D2f B_5d gamma=+0.2,0.7861968048158705,1.7609783969566135,-0.33825244088775097,356.7149458399421,B
D2f B_5d gamma=+0.3,0.7951634922044458,1.7329022570448722,-0.3375649261115995,446.38181972569527,B
