config,rankicir,sharpe,maxdd,lambda,alpha_mode
D2 lambda=0.5 | fixed alpha=0.5 (D2a),0.742560097423008,1.8050106437559914,-0.33475034803362214,0.5,fixed_0.5
D2 lambda=0.5 | adaptive alpha (D2c),0.7462169318554537,1.8285821056372704,-0.33358448819927244,0.5,adaptive
D2 lambda=1.0 | fixed alpha=0.5 (D2a),0.7430396440713417,1.7977466035931902,-0.3352046950336727,1.0,fixed_0.5
D2 lambda=1.0 | adaptive alpha (D2c),0.7468356887094147,1.8173726058032866,-0.3342480863668964,1.0,adaptive
D2 lambda=2.0 | fixed alpha=0.5 (D2a),0.7432288175310752,1.8043064209830628,-0.3352835814812337,2.0,fixed_0.5
D2 lambda=2.0 | adaptive alpha (D2c),0.7479534552162128,1.833412880306182,-0.3337680565881185,2.0,adaptive
D2 lambda=3.0 | fixed alpha=0.5 (D2a),0.745152400654254,1.7876544722575975,-0.33745339895376225,3.0,fixed_0.5
D2 lambda=3.0 | adaptive alpha (D2c),0.7505253102318763,1.8094287076014655,-0.33525162537859543,3.0,adaptive
D2 lambda=5.0 | fixed alpha=0.5 (D2a),0.7428444399119277,1.755894852843128,-0.3394382333183448,5.0,fixed_0.5
D2 lambda=5.0 | adaptive alpha (D2c),0.7492579096048597,1.8059473225502058,-0.3363120550032088,5.0,adaptive
D2 lambda=10.0 | fixed alpha=0.5 (D2a),0.7398277109951297,1.7326043613565274,-0.3415459161054767,10.0,fixed_0.5
D2 lambda=10.0 | adaptive alpha (D2c),0.7476514619150137,1.7818332162418755,-0.3369466557056918,10.0,adaptive
