direction,feature,importance
D1,ema30_slope_vr,24.80348670234525
D1,ret_1d,19.506957264759723
D1,board_rs_20d,17.364971637864105
D1,board_rank_20d_pct,8.567507130458406
D1,ret_3d,8.238358951152136
D2,ema180_slope,30.55019238024086
D2,bias_60,29.05611530945868
D2,bias_60_vr,16.41527279580906
D2,ma60_slope,13.78463671603817
D2,trend60,10.19378279845323
D3,bias_60,29.62773156656492
D3,ema180_slope,25.68298004089584
D3,ma60_slope,23.77681699891673
D3,bias_60_vr,19.19919395347984
D3,trend60,1.7132774401426845
