config,rankicir,sharpe,maxdd
B0 Global CatBoost (17 feat),0.2974,0.92,-0.4284
M1 G1+G3 global (additive ref),0.256,0.746,-0.4224
Trend pure (Alpha),0.5978984996788858,1.6939746649926015,-0.341958424621696
Bear_C α=0.2 (|bias_60| rule),0.6325341670189599,1.7498234817859226,-0.33332680175551244
D1 α=0.2 (adversarial),0.6917967783763489,1.7526509865790876,-0.3371517859856117
D1 α=0.5 (* CORE),0.7407736628967975,1.8023189446712513,-0.3352114088604571
+ adaptive α (regime),0.7437717088500838,1.82947726994085,-0.33280284545656813
+ Agent 5 anomaly valve,0.7424315753314572,1.8053548893060458,-0.3352114088604571
+ Vol-gate (high vol -> Alpha),0.7154470763343547,1.7649873808810121,-0.3361014164767686
FINAL: adaptive α + anomaly + vol-gate,0.711592955194054,1.7715147137118281,-0.3347886559455363
