config,alpha,rankicir,sharpe,maxdd,vs_BearC_bp
Trend pure (Alpha),,0.5978984996788858,1.6939746649926015,-0.3419584246216958,-346.01500321114196
Bear_C α=0.2 (|bias_60| rule),0.2,0.6325341670189599,1.7498234817859224,-0.33332680175551244,0.0
Bear_D1 α=0.1,0.1,0.6541053970210601,1.7443366012312558,-0.33990361909962163,216.05397021060125
Bear_D1 α=0.2,0.2,0.6917967783763489,1.7526509865790876,-0.3371517859856117,592.9677837634895
Bear_D1 α=0.3,0.3,0.7162118277544088,1.7679283189598767,-0.337811359516322,837.1182775440889
Bear_D1 α=0.5,0.5,0.7407736628967975,1.8023189446712509,-0.3352114088604571,1082.736628967975
Bear_D2 α=0.1,0.1,0.633726315178335,1.7299748658054943,-0.33992773574349344,12.263151783350468
Bear_D2 α=0.2,0.2,0.6556604966265872,1.7581657418065713,-0.3378609251014818,231.60496626587258
Bear_D2 α=0.3,0.3,0.6678318942599184,1.753817883215063,-0.33677700331229166,353.3189425991845
Bear_D2 α=0.5,0.5,0.6784510457950488,1.7599131546557363,-0.33398681441562883,459.5104579504883
Bear_D3 α=0.1,0.1,0.6015302442087717,1.6610263991584213,-0.34520914193253927,-309.69755791228295
Bear_D3 α=0.2,0.2,0.6060489053830125,1.6160723756792716,-0.34855861884582273,-264.51094616987467
Bear_D3 α=0.3,0.3,0.6113848185548971,1.5538937339330257,-0.3494947162373109,-211.15181445102826
Bear_D3 α=0.5,0.5,0.5896705275210078,1.3839082531349494,-0.35636636086939444,-428.2947247899216
Bear_D1+Bear_C combined α=0.1,0.1,0.6383257836981672,1.732501719722141,-0.3393894434482334,58.2578369816722
Bear_D1+Bear_C combined α=0.2,0.2,0.6680891698096108,1.7496666270519619,-0.3364195354955305,355.891698096108
Bear_D1+Bear_C combined α=0.3,0.3,0.6893131368432611,1.7695432731838485,-0.3330652129548778,568.1313684326117
Bear_D1+Bear_C combined α=0.5,0.5,0.7116268006027925,1.803474119973454,-0.32848106692242107,791.2680060279254
Bear_D2+Bear_C combined α=0.1,0.1,0.6273712304850892,1.7190848513323933,-0.3407248759569361,-51.28769514910702
Bear_D2+Bear_C combined α=0.2,0.2,0.6472017497734563,1.740637125923429,-0.3369939602160018,147.01749773456396
Bear_D2+Bear_C combined α=0.3,0.3,0.6595017991876035,1.7539609510216025,-0.3347561748850665,270.0179918760359
Bear_D2+Bear_C combined α=0.5,0.5,0.6669897640894343,1.7852811152942212,-0.3254696711688113,344.89764089434385
Bear_D3+Bear_C combined α=0.1,0.1,0.6121911024230664,1.6976407058791512,-0.34309127459549615,-203.0889757693355
Bear_D3+Bear_C combined α=0.2,0.2,0.6258167433292852,1.6911393361001115,-0.3435648355527088,-66.83256670714788
Bear_D3+Bear_C combined α=0.3,0.3,0.6373956297529599,1.687309942517503,-0.3417836161518255,48.956297529599844
Bear_D3+Bear_C combined α=0.5,0.5,0.6479663981218509,1.6596143039368196,-0.3407282802034842,154.6639812185091
