model,family,top_frac,annual_return,annual_volatility,sharpe,max_drawdown,avg_turnover,n_days
ALSTM,sequence,0.01,0.10483099947298453,0.20171344441118863,0.5197025898744198,-0.5136995206606594,0.9917043361794743,724
ALSTM,sequence,0.03,0.057638207258839384,0.17361502380369073,0.33198859174775003,-0.5151573029974852,0.9864515879138875,724
ALSTM,sequence,0.05,0.05054213696112659,0.16216013501308124,0.3116804074999655,-0.5107296067510178,0.9830051614919089,724
ALSTM,sequence,0.1,0.04904506968060762,0.1513028760010015,0.324151602249008,-0.47166044638804494,0.975739299328236,724
CatBoost,gbdt,0.01,0.10674961601019568,0.15989525866291254,0.6676221477914035,-0.39330364489045777,0.9335469276964216,733
CatBoost,gbdt,0.03,0.09812091935340246,0.15614880567474365,0.6283808507494276,-0.3964470324431518,0.8823436630722306,733
CatBoost,gbdt,0.05,0.11035920064125104,0.15547600992472907,0.7098149784952642,-0.39521323445750334,0.8445558828844212,733
CatBoost,gbdt,0.1,0.12131509248420261,0.1524085844064702,0.7959859541812818,-0.38778618654158836,0.7635207524452715,733
EMA-slope,factor,0.01,-0.7072712264359141,0.1871125247070322,-3.779924553651928,-0.908826948603045,0.6921268311718516,733
EMA-slope,factor,0.03,-0.451216277426898,0.1548037269729279,-2.914763657504233,-0.7971303192047371,0.6357689664722272,733
EMA-slope,factor,0.05,-0.3265926557946803,0.1438080724930198,-2.271031452775591,-0.7305183867065986,0.6009774467096931,733
EMA-slope,factor,0.1,-0.18195576567436111,0.13037908313976768,-1.3955901613397812,-0.6372811796492401,0.5360869168496074,733
FT-Transformer,tabular_dl,0.01,-0.05032410162615824,0.1298272537072174,-0.38762355506377477,-0.5362134904923388,0.9726784972408582,733
FT-Transformer,tabular_dl,0.03,-0.0122686557673512,0.12825200611623425,-0.09566053692939641,-0.4963656366874579,0.9429276393549376,733
FT-Transformer,tabular_dl,0.05,0.0031807693724192725,0.12816053812121048,0.024818633091342003,-0.4684938569698578,0.9179142923117596,733
FT-Transformer,tabular_dl,0.1,0.03132958045234262,0.12832032943937124,0.24415134054924018,-0.4344851874751646,0.8610467206242481,733
LightGBM-conservative,gbdt,0.01,0.02549730684733868,0.1526108808553947,0.1670739773234024,-0.4632423497698074,0.9569426171853114,733
LightGBM-conservative,gbdt,0.03,0.03645327938510109,0.14895079314960935,0.24473370442872794,-0.43777003985062646,0.9120734772802661,733
LightGBM-conservative,gbdt,0.05,0.05182188367308746,0.14728149180586128,0.35185604815434884,-0.430218862823993,0.8769148140280301,733
LightGBM-conservative,gbdt,0.1,0.07684230035599128,0.14495350964337442,0.5301168667460658,-0.41861622595226644,0.8032148154262516,733
LightGBM-shallow,gbdt,0.01,0.10913339019596523,0.16141721866913616,0.676095097510388,-0.41379760032302815,0.9468143176982123,733
LightGBM-shallow,gbdt,0.03,0.08495434885088998,0.15713554370123967,0.5406437452013587,-0.4069389022661213,0.891882638891349,733
LightGBM-shallow,gbdt,0.05,0.09910313618969277,0.15506232242468687,0.6391180954859409,-0.40279949037022067,0.8523344134268024,733
LightGBM-shallow,gbdt,0.1,0.11270173424260807,0.15142964732024145,0.7442514476987978,-0.39582990285654374,0.775473813180719,733
LightGBM-std,gbdt,0.01,0.031159997200090075,0.15473129357661664,0.20138135266516669,-0.4477768104140839,0.9618295616888278,733
LightGBM-std,gbdt,0.03,0.047748648167027494,0.14642316317966939,0.32610037326155317,-0.431396346298622,0.921479637647577,733
LightGBM-std,gbdt,0.05,0.05646958033407025,0.14400807590147047,0.3921278718612033,-0.4295048573793465,0.8894557480705868,733
LightGBM-std,gbdt,0.1,0.08529176002310583,0.14072784810377656,0.606075920099406,-0.41658328933044075,0.8199015687727534,733
LogisticRegression,linear,0.01,0.08422182843620216,0.16357777613525604,0.5148732940748775,-0.4510343191065441,0.8662337127907602,733
LogisticRegression,linear,0.03,0.12339204023828074,0.15872426691050973,0.7773987093470109,-0.4305715654432519,0.8196599843247885,733
LogisticRegression,linear,0.05,0.13372863439660831,0.15618482039225595,0.8562204320544772,-0.4181255489306487,0.7908826556333945,733
LogisticRegression,linear,0.1,0.1455515489237142,0.15123008716000827,0.9624510020265615,-0.4040820761442725,0.7334217305195845,733
Momentum-5d,factor,0.01,-0.6813970575205899,0.17765510757688527,-3.8355050232692918,-0.8943337670820656,0.9204584284702042,733
Momentum-5d,factor,0.03,-0.43936035829162234,0.1480282272093807,-2.9680849833468765,-0.7797656029274109,0.9021948091074974,733
Momentum-5d,factor,0.05,-0.32130531283996927,0.13764824871803874,-2.334249188292523,-0.7227457269675712,0.8847886563042602,733
Momentum-5d,factor,0.1,-0.177705016818936,0.12578661043546643,-1.412749864264017,-0.6234775391060727,0.8428752734466509,733
RandomForest,gbdt,0.01,0.07216485322741094,0.15924808137750293,0.45315995397358494,-0.4490836329027118,0.9418478015735143,733
RandomForest,gbdt,0.03,0.09014087379287794,0.15261449470781857,0.5906442501772405,-0.4007681495166918,0.8951985390356654,733
RandomForest,gbdt,0.05,0.09614486104911495,0.1513193795304,0.635377050497352,-0.39303603386985875,0.8616737642639142,733
RandomForest,gbdt,0.1,0.10672882091594577,0.14888118964814695,0.7168724347795683,-0.39264580851129516,0.7902693409071271,733
Rel-Strength,factor,0.01,-0.5571455006541918,0.1909627535699546,-2.9175610962799348,-0.86908313470526,0.5249964106171473,733
Rel-Strength,factor,0.03,-0.3835585327579719,0.15959349477706417,-2.4033469114374872,-0.7680466323012429,0.5028471173612091,733
Rel-Strength,factor,0.05,-0.28942760598917855,0.14785654839481618,-1.9574892632846406,-0.7134359090478534,0.4837296554060837,733
Rel-Strength,factor,0.1,-0.16845871664823878,0.13594517344504772,-1.23916658737674,-0.6357649248545882,0.4419422139661026,733
TCN,sequence,0.01,0.09700868527521637,0.2159135978719309,0.44929400571036315,-0.5063113399593666,0.9932194876946259,724
TCN,sequence,0.03,0.12282635300234865,0.18443851932118369,0.6659474032561344,-0.484199499206997,0.9879787732183762,724
TCN,sequence,0.05,0.09307367423842446,0.17102479355182673,0.5442115865511613,-0.5004989460253775,0.9830844903947107,724
TCN,sequence,0.1,0.07539750478853137,0.15417920607437474,0.48902512023677336,-0.49102465304171483,0.9730128047994755,724
TabNet,tabular_dl,0.01,-0.12982339185497457,0.15051650377442397,-0.8625193158189368,-0.5581049196766471,0.9540474221453614,733
TabNet,tabular_dl,0.03,-0.0921050201460986,0.14252130906222718,-0.6462543794478061,-0.5225658895416017,0.9152132933534363,733
TabNet,tabular_dl,0.05,-0.06458119467121595,0.13888549728823224,-0.46499595661301574,-0.49453003218470093,0.8845060532700861,733
TabNet,tabular_dl,0.1,-0.026311324083051774,0.13476648179519013,-0.1952364099185888,-0.4653143869431783,0.8290519689312433,733
XGBoost,gbdt,0.01,0.09524140642516729,0.15878527503034132,0.5998125859401521,-0.44812760352718073,0.9583105229504311,733
XGBoost,gbdt,0.03,0.07003786827192096,0.15406097029086976,0.4546113667834771,-0.4398914208077299,0.9143460532045091,733
XGBoost,gbdt,0.05,0.08751977457661944,0.15168864450099614,0.5769698507395172,-0.42870557742354176,0.8815414782792392,733
XGBoost,gbdt,0.1,0.10448682412028437,0.14765593957209563,0.7076371219680385,-0.4201530639963167,0.8135488065383623,733
