model,family,preprocess,fit_predict_sec,auc,accuracy,ic_mean,ic_std,icir,rankic_mean,rankic_std,rankicir,n_days,top1pct_ret,top3pct_ret,top5pct_ret,top10pct_ret,top1pct_hit,top3pct_hit,top5pct_hit,top10pct_hit
LogisticRegression,linear,zscore,6.21,0.554751742010891,0.619620336287772,0.02225761222965458,0.12068440382757185,0.18442824030067048,0.03472498736010112,0.14419240761507707,0.24082396524510352,733,0.004713867936117624,0.005443399674007104,0.0054603785082515685,0.005535407461194166,0.459522877954701,0.466975950513676,0.47221607409591626,0.47873584629560123
XGBoost,gbdt,raw,30.14,0.5378569328546476,0.5923048526389396,0.02342637511878941,0.11522102093054438,0.20331685077596134,0.009102133301017227,0.1484572866494939,0.061311462080721364,733,0.01114704630411046,0.006924221057641572,0.0063362115291395,0.005693677883110919,0.4841504516596066,0.4774796584043956,0.47873973577298246,0.4793187383004225
LightGBM-std,gbdt,raw,69.28,0.5423382899243894,0.5876399867955403,0.020729515636345182,0.1149104164985203,0.18039718476359465,0.008801423446888236,0.14640191620759083,0.06011822573693806,733,0.010286174973855759,0.006867109809847299,0.0060921586651388505,0.005572085293838965,0.4870948960128252,0.48350360491277317,0.4827906745783227,0.483322338007423
CatBoost,gbdt,raw,49.6,0.5452732242521691,0.5946245070512525,0.022505958912683418,0.12672013319116332,0.17760365575635967,0.00934296116651157,0.164506588576336,0.05679384179908488,733,0.006791029196573888,0.006310281036481836,0.006182140084211057,0.005671773378605885,0.48342667470979384,0.48037575774908375,0.4793883797844791,0.47826419113224994
LightGBM-shallow,gbdt,raw,50.91,0.5408392801691809,0.5961643174323715,0.02480644748711288,0.12411194616922205,0.199871553486803,0.006982683788622382,0.16217348142249857,0.043056877902441476,733,0.011086229971768604,0.007207938402391558,0.006596808401230251,0.005943087928671391,0.4820367672022731,0.47624725515290556,0.47582161250567184,0.4775564794871374
LightGBM-conservative,gbdt,raw,90.18,0.5458397781795687,0.5917280449235597,0.019685018801933848,0.11844400583221991,0.16619683422239506,0.006155364903640496,0.1525617971698077,0.04034669896284268,733,0.008854804215910768,0.006468152536938148,0.005932168279279202,0.005582615865804761,0.47748864848742784,0.47743856368527576,0.4778556800611775,0.4798271434939735
TCN,sequence,zscore,61.17,0.5695357734513907,0.5982146542827658,0.008540350573978379,0.13715493803917486,0.06226790443038254,-0.00019722047338813757,0.16165752982230414,-0.00121998940355531,724,0.006095287598426312,0.00506265188079328,0.004726245288824856,0.004284913922596641,0.4633977900552486,0.4657599457831014,0.4656208542503551,0.46709085517228444
ALSTM,sequence,zscore,52.17,0.574980518955234,0.5906785345717235,0.0012965163961877716,0.13120352316476586,0.009881719369377007,-0.0011350484461259349,0.1636169444836232,-0.00693723042994208,724,0.004998866564090906,0.0035974027832782604,0.0040407074390755365,0.0042945921191672445,0.4648250460405156,0.46509206813480464,0.47197779498360565,0.47340768510889575
RandomForest,gbdt,raw,158.22,0.5559734410486398,0.6147868651121846,0.010856202499225445,0.11608293422436619,0.09352108965683512,-0.001811317489499824,0.15186098967873427,-0.011927470598813505,733,0.005264694619217368,0.004848439175738391,0.004718643794224197,0.004491097221029261,0.4799165393694007,0.4788949375678226,0.4778572745525658,0.47777677733604046
FT-Transformer,tabular_dl,standard,577.49,0.5262910208254801,0.5623002026813573,0.0002795887053715195,0.11019828987211798,0.0025371419619666905,-0.004031299797023491,0.14074307802562172,-0.028642970251720717,733,0.0021073951736176803,0.0027208633654041583,0.0028394526268651884,0.003155805188437424,0.46252514285830865,0.4691392242152812,0.46992669189323355,0.4722033806867411
TabNet,tabular_dl,zscore,1002.21,0.5493556893744843,0.5756718478789449,-0.0024462742715179596,0.11188166991017078,-0.02186483517346551,-0.005220814463584669,0.1402252640578414,-0.037231625118788435,733,-0.0002811046948088202,0.0011741414653425376,0.0015995600715508265,0.0021464139525469257,0.4453039487504915,0.4510455709426873,0.4558155707046321,0.4607117358194554
Momentum-5d,factor,raw,0.03,0.48226597796393383,0.6008462212882867,-0.026791455046874635,0.12477790496807352,-0.2147131341380485,-0.03837040059550831,0.1533033221701973,-0.25029073116177813,733,-0.008575835397959124,-0.005833729775860734,-0.0037011874924283363,-0.0009262063209928819,0.38198895328930516,0.3968977478348721,0.4096421177652904,0.42992964694321
EMA-slope,factor,raw,0.03,0.481356562633971,0.5708685481838544,-0.04086360362644284,0.14228161485515034,-0.28720227604981846,-0.06778773935624272,0.1610495413851697,-0.42091234022281404,733,-0.010759919936423739,-0.007308266252250253,-0.00526594923900277,-0.0023591990340397764,0.3802871780541056,0.38918761165174637,0.3989533095051571,0.4165226806110084
Rel-Strength,factor,raw,0.05,0.4949336334203177,0.599219091093024,-0.03946734216042649,0.13157075441660773,-0.29997047851117786,-0.06280234683711594,0.14530404762461027,-0.43221333379070337,733,-0.010198870355770006,-0.0071103540264679695,-0.005147065581252748,-0.0024861533006411835,0.386507863171897,0.3952330820859429,0.40378873283259425,0.4197817287137374
