model,family,preprocess,auc,accuracy,ic_mean,icir,rankic_mean,rankicir,top1pct_ret,top3pct_ret,top5pct_ret,top10pct_ret,top1pct_hit,top5pct_hit,n_days,fit_predict_sec
LogisticRegression,linear,zscore,0.554751742010891,0.619620336287772,0.0222576122296545,0.1844282403006704,0.0347249873601011,0.2408239652451035,0.0047138679361176,0.0054433996740071,0.0054603785082515,0.0055354074611941,0.459522877954701,0.4722160740959162,733,6.21
XGBoost,gbdt,raw,0.5378569328546476,0.5923048526389396,0.0234263751187894,0.2033168507759613,0.0091021333010172,0.0613114620807213,0.0111470463041104,0.0069242210576415,0.0063362115291395,0.0056936778831109,0.4841504516596066,0.4787397357729824,733,30.14
LightGBM-std,gbdt,raw,0.5423382899243894,0.5876399867955403,0.0207295156363451,0.1803971847635946,0.0088014234468882,0.060118225736938,0.0102861749738557,0.0068671098098472,0.0060921586651388,0.0055720852938389,0.4870948960128252,0.4827906745783227,733,69.28
CatBoost,gbdt,raw,0.5452732242521691,0.5946245070512525,0.0225059589126834,0.1776036557563596,0.0093429611665115,0.0567938417990848,0.0067910291965738,0.0063102810364818,0.006182140084211,0.0056717733786058,0.4834266747097938,0.4793883797844791,733,49.6
LightGBM-shallow,gbdt,raw,0.5408392801691809,0.5961643174323715,0.0248064474871128,0.199871553486803,0.0069826837886223,0.0430568779024414,0.0110862299717686,0.0072079384023915,0.0065968084012302,0.0059430879286713,0.4820367672022731,0.4758216125056718,733,50.91
LightGBM-conservative,gbdt,raw,0.5458397781795687,0.5917280449235597,0.0196850188019338,0.166196834222395,0.0061553649036404,0.0403466989628426,0.0088548042159107,0.0064681525369381,0.0059321682792792,0.0055826158658047,0.4774886484874278,0.4778556800611775,733,90.18
TCN,sequence,zscore,0.5695357734513907,0.5982146542827658,0.0085403505739783,0.0622679044303825,-0.0001972204733881,-0.0012199894035553,0.0060952875984263,0.0050626518807932,0.0047262452888248,0.0042849139225966,0.4633977900552486,0.4656208542503551,724,61.17
ALSTM,sequence,zscore,0.574980518955234,0.5906785345717235,0.0012965163961877,0.009881719369377,-0.0011350484461259,-0.006937230429942,0.0049988665640909,0.0035974027832782,0.0040407074390755,0.0042945921191672,0.4648250460405156,0.4719777949836056,724,52.17
RandomForest,gbdt,raw,0.5559734410486398,0.6147868651121846,0.0108562024992254,0.0935210896568351,-0.0018113174894998,-0.0119274705988135,0.0052646946192173,0.0048484391757383,0.0047186437942241,0.0044910972210292,0.4799165393694007,0.4778572745525658,733,158.22
FT-Transformer,tabular_dl,standard,0.5262910208254801,0.5623002026813573,0.0002795887053715,0.0025371419619666,-0.0040312997970234,-0.0286429702517207,0.0021073951736176,0.0027208633654041,0.0028394526268651,0.0031558051884374,0.4625251428583086,0.4699266918932335,733,577.49
TabNet,tabular_dl,zscore,0.5493556893744843,0.5756718478789449,-0.0024462742715179,-0.0218648351734655,-0.0052208144635846,-0.0372316251187884,-0.0002811046948088,0.0011741414653425,0.0015995600715508,0.0021464139525469,0.4453039487504915,0.4558155707046321,733,1002.21
Momentum-5d,factor,raw,0.4822659779639338,0.6008462212882867,-0.0267914550468746,-0.2147131341380485,-0.0383704005955083,-0.2502907311617781,-0.0085758353979591,-0.0058337297758607,-0.0037011874924283,-0.0009262063209928,0.3819889532893051,0.4096421177652904,733,0.03
EMA-slope,factor,raw,0.481356562633971,0.5708685481838544,-0.0408636036264428,-0.2872022760498184,-0.0677877393562427,-0.420912340222814,-0.0107599199364237,-0.0073082662522502,-0.0052659492390027,-0.0023591990340397,0.3802871780541056,0.3989533095051571,733,0.03
Rel-Strength,factor,raw,0.4949336334203177,0.599219091093024,-0.0394673421604264,-0.2999704785111778,-0.0628023468371159,-0.4322133337907033,-0.01019887035577,-0.0071103540264679,-0.0051470655812527,-0.0024861533006411,0.386507863171897,0.4037887328325942,733,0.05
