model,family,annual_return_top1pct,annual_return_top3pct,annual_return_top5pct,annual_return_top10pct,avg_turnover_top1pct,avg_turnover_top3pct,avg_turnover_top5pct,avg_turnover_top10pct,max_drawdown_top1pct,max_drawdown_top3pct,max_drawdown_top5pct,max_drawdown_top10pct,sharpe_top1pct,sharpe_top3pct,sharpe_top5pct,sharpe_top10pct,sharpe_avg
LogisticRegression,linear,0.0842218284362021,0.1233920402382807,0.1337286343966083,0.1455515489237142,0.8662337127907602,0.8196599843247885,0.7908826556333945,0.7334217305195845,-0.4510343191065441,-0.4305715654432519,-0.4181255489306487,-0.4040820761442725,0.5148732940748775,0.7773987093470109,0.8562204320544772,0.9624510020265616,0.7777358593757318
CatBoost,gbdt,0.1067496160101956,0.0981209193534024,0.110359200641251,0.1213150924842026,0.9335469276964216,0.8823436630722306,0.8445558828844212,0.7635207524452715,-0.3933036448904577,-0.3964470324431518,-0.3952132344575033,-0.3877861865415883,0.6676221477914035,0.6283808507494276,0.7098149784952642,0.7959859541812818,0.7004509828043443
LightGBM-shallow,gbdt,0.1091333901959652,0.0849543488508899,0.0991031361896927,0.112701734242608,0.9468143176982124,0.891882638891349,0.8523344134268024,0.775473813180719,-0.4137976003230281,-0.4069389022661213,-0.4027994903702206,-0.3958299028565437,0.676095097510388,0.5406437452013587,0.6391180954859409,0.7442514476987978,0.6500270964741214
RandomForest,gbdt,0.0721648532274109,0.0901408737928779,0.0961448610491149,0.1067288209159457,0.9418478015735144,0.8951985390356654,0.8616737642639142,0.7902693409071271,-0.4490836329027118,-0.4007681495166918,-0.3930360338698587,-0.3926458085112951,0.4531599539735849,0.5906442501772405,0.635377050497352,0.7168724347795683,0.5990134223569364
XGBoost,gbdt,0.0952414064251672,0.0700378682719209,0.0875197745766194,0.1044868241202843,0.9583105229504312,0.9143460532045092,0.8815414782792392,0.8135488065383623,-0.4481276035271807,-0.4398914208077299,-0.4287055774235417,-0.4201530639963167,0.5998125859401521,0.4546113667834771,0.5769698507395172,0.7076371219680385,0.5847577313577962
TCN,sequence,0.0970086852752163,0.1228263530023486,0.0930736742384244,0.0753975047885313,0.993219487694626,0.9879787732183762,0.9830844903947108,0.9730128047994756,-0.5063113399593666,-0.484199499206997,-0.5004989460253775,-0.4910246530417148,0.4492940057103631,0.6659474032561344,0.5442115865511613,0.4890251202367733,0.537119528938608
LightGBM-std,gbdt,0.03115999720009,0.0477486481670274,0.0564695803340702,0.0852917600231058,0.9618295616888278,0.921479637647577,0.8894557480705868,0.8199015687727534,-0.4477768104140839,-0.431396346298622,-0.4295048573793465,-0.4165832893304407,0.2013813526651666,0.3261003732615531,0.3921278718612033,0.606075920099406,0.38142137947183224
ALSTM,sequence,0.1048309994729845,0.0576382072588393,0.0505421369611265,0.0490450696806076,0.9917043361794744,0.9864515879138877,0.9830051614919088,0.975739299328236,-0.5136995206606594,-0.5151573029974852,-0.5107296067510178,-0.4716604463880449,0.5197025898744198,0.33198859174775,0.3116804074999655,0.324151602249008,0.3718807978427858
LightGBM-conservative,gbdt,0.0254973068473386,0.036453279385101,0.0518218836730874,0.0768423003559912,0.9569426171853114,0.912073477280266,0.8769148140280301,0.8032148154262516,-0.4632423497698074,-0.4377700398506264,-0.430218862823993,-0.4186162259522664,0.1670739773234024,0.2447337044287279,0.3518560481543488,0.5301168667460658,0.32344514916313627
FT-Transformer,tabular_dl,-0.0503241016261582,-0.0122686557673512,0.0031807693724192,0.0313295804523426,0.9726784972408582,0.9429276393549376,0.9179142923117596,0.8610467206242481,-0.5362134904923388,-0.4963656366874579,-0.4684938569698578,-0.4344851874751646,-0.3876235550637747,-0.0956605369293964,0.024818633091342,0.2441513405492401,-0.05357852958814725
TabNet,tabular_dl,-0.1298233918549745,-0.0921050201460986,-0.0645811946712159,-0.0263113240830517,0.9540474221453614,0.9152132933534364,0.8845060532700861,0.8290519689312433,-0.5581049196766471,-0.5225658895416017,-0.4945300321847009,-0.4653143869431783,-0.8625193158189368,-0.6462543794478061,-0.4649959566130157,-0.1952364099185888,-0.5422515154495868
Rel-Strength,factor,-0.5571455006541918,-0.3835585327579719,-0.2894276059891785,-0.1684587166482387,0.5249964106171473,0.5028471173612091,0.4837296554060837,0.4419422139661026,-0.86908313470526,-0.7680466323012429,-0.7134359090478534,-0.6357649248545882,-2.9175610962799348,-2.4033469114374872,-1.9574892632846408,-1.23916658737674,-2.129390964594701
EMA-slope,factor,-0.7072712264359141,-0.451216277426898,-0.3265926557946803,-0.1819557656743611,0.6921268311718516,0.6357689664722272,0.6009774467096931,0.5360869168496074,-0.908826948603045,-0.7971303192047371,-0.7305183867065986,-0.6372811796492401,-3.779924553651928,-2.914763657504233,-2.271031452775591,-1.3955901613397812,-2.5903274563178833
Momentum-5d,factor,-0.6813970575205899,-0.4393603582916223,-0.3213053128399692,-0.177705016818936,0.9204584284702042,0.9021948091074974,0.8847886563042602,0.8428752734466509,-0.8943337670820656,-0.7797656029274109,-0.7227457269675712,-0.6234775391060727,-3.835505023269292,-2.9680849833468765,-2.334249188292523,-1.412749864264017,-2.637647264793177
