model,family,top_frac,annual_return,annual_volatility,sharpe,max_drawdown,avg_turnover,n_days
ALSTM-reg,sequence,0.01,0.02538455848816869,0.19733119266236906,0.12863936079077634,-0.4381701141111529,0.987167252636866,724
ALSTM-reg,sequence,0.03,0.08439802220502926,0.1648846559438924,0.511860983800388,-0.4113088193897594,0.9836812417459544,724
ALSTM-reg,sequence,0.05,0.079367805929293,0.15529571974398523,0.5110752959588057,-0.4438393259246851,0.9805686246927029,724
ALSTM-reg,sequence,0.1,0.07610405505525888,0.14607514343649083,0.5209925060819584,-0.44035604198825107,0.9726524238504954,724
CatBoost-reg,gbdt,0.01,0.03411690028642915,0.15382968842661252,0.22178358830067638,-0.4820554575956818,0.9624228492742889,733
CatBoost-reg,gbdt,0.03,0.0764762375834496,0.14950372866183886,0.5115339815800214,-0.43855952986663993,0.9288505234824153,733
CatBoost-reg,gbdt,0.05,0.09705523988898913,0.1479130296496387,0.656164234610593,-0.423444705095277,0.9031629706676612,733
CatBoost-reg,gbdt,0.1,0.1226884409662065,0.14532691356549063,0.8442238120671142,-0.41143060906467877,0.8430526413401682,733
EMA-slope,factor,0.01,-0.7072712264359141,0.1871125247070322,-3.779924553651928,-0.9088269486030451,0.6921268311718516,733
EMA-slope,factor,0.03,-0.451216277426898,0.1548037269729279,-2.914763657504233,-0.7971303192047372,0.6357689664722272,733
EMA-slope,factor,0.05,-0.32659265579468033,0.1438080724930198,-2.2710314527755915,-0.7305183867065986,0.6009774467096931,733
EMA-slope,factor,0.1,-0.1819557656743611,0.13037908313976768,-1.395590161339781,-0.6372811796492401,0.5360869168496074,733
FT-Transformer-reg,tabular_dl,0.01,0.02472317676015326,0.1597638827404693,0.15474822178874542,-0.4865040159091387,0.9504612682842022,733
FT-Transformer-reg,tabular_dl,0.03,0.05614920766538675,0.15004831872957278,0.37420750955952164,-0.4539572411534738,0.914928173315906,733
FT-Transformer-reg,tabular_dl,0.05,0.07767253048730062,0.14579406186822116,0.5327551032737291,-0.43315493252376536,0.8890990372757421,733
FT-Transformer-reg,tabular_dl,0.1,0.10184208819235614,0.14141533300211845,0.7201629839589637,-0.4100896412198076,0.8372110695414853,733
LightGBM-conservative-reg,gbdt,0.01,-0.014603141169907755,0.16034201796810746,-0.09107494937984606,-0.5634475992086437,0.9524850108766244,733
LightGBM-conservative-reg,gbdt,0.03,0.038997199906723796,0.15235553609416283,0.255961817381035,-0.5205251084033569,0.9157155492432824,733
LightGBM-conservative-reg,gbdt,0.05,0.06303348526319122,0.1477525143406777,0.42661531375265055,-0.4998971623605222,0.8862612119222072,733
LightGBM-conservative-reg,gbdt,0.1,0.10659859685684885,0.14328302262420717,0.7439722788123216,-0.46093102490010396,0.8221051699417552,733
LightGBM-shallow-reg,gbdt,0.01,0.016591477849153075,0.15601006234166354,0.10634876750973651,-0.4995491676166737,0.9612165235199628,733
LightGBM-shallow-reg,gbdt,0.03,0.07516057690315628,0.14873927383311095,0.5053176270544945,-0.46143968199021446,0.9224510644685907,733
LightGBM-shallow-reg,gbdt,0.05,0.09881832486363451,0.14705740426280875,0.6719710942744143,-0.44945157468083385,0.8918081251728311,733
LightGBM-shallow-reg,gbdt,0.1,0.12565529420416435,0.14380035043948905,0.8738177189424854,-0.42653525129608694,0.8268619935367233,733
LightGBM-std-reg,gbdt,0.01,-0.005022551664131996,0.1640142430419652,-0.03062265551441718,-0.5625003796530275,0.9405644171954218,733
LightGBM-std-reg,gbdt,0.03,0.05062081952211384,0.1514425693884391,0.33425753225485194,-0.49617074423890295,0.9072247736645741,733
LightGBM-std-reg,gbdt,0.05,0.06909100190679147,0.14668423442414774,0.47101859431607357,-0.4705632026139809,0.8802310778513317,733
LightGBM-std-reg,gbdt,0.1,0.10233674417396244,0.14122556169975153,0.7246332954336727,-0.442813907832012,0.821565645230162,733
Momentum-5d,factor,0.01,-0.6813970575205899,0.17765510757688527,-3.8355050232692918,-0.8943337670820657,0.9204584284702042,733
Momentum-5d,factor,0.03,-0.43936035829162234,0.14802822720938066,-2.968084983346877,-0.7797656029274109,0.9021948091074974,733
Momentum-5d,factor,0.05,-0.32130531283996927,0.13764824871803874,-2.334249188292523,-0.7227457269675712,0.8847886563042602,733
Momentum-5d,factor,0.1,-0.17770501681893602,0.12578661043546643,-1.4127498642640173,-0.6234775391060727,0.8428752734466509,733
RandomForest-reg,gbdt,0.01,0.0765661593420554,0.17336857274980114,0.44163805543091567,-0.44793739867914184,0.9361541617519215,733
RandomForest-reg,gbdt,0.03,0.1003201412955592,0.15947975753634602,0.6290462366215717,-0.4211476115895014,0.9077910752651596,733
RandomForest-reg,gbdt,0.05,0.10655360844598949,0.15587779490291803,0.6835714382048576,-0.43037062365890544,0.8811880361290364,733
RandomForest-reg,gbdt,0.1,0.1293412705344863,0.15100004908048317,0.8565644271118565,-0.4220500514624159,0.8228757026366805,733
Rel-Strength,factor,0.01,-0.5571455006541918,0.1909627535699546,-2.9175610962799348,-0.86908313470526,0.5249964106171473,733
Rel-Strength,factor,0.03,-0.38355853275797197,0.15959349477706417,-2.4033469114374877,-0.768046632301243,0.5028471173612091,733
Rel-Strength,factor,0.05,-0.28942760598917855,0.14785654839481618,-1.9574892632846406,-0.7134359090478534,0.4837296554060837,733
Rel-Strength,factor,0.1,-0.16845871664823872,0.13594517344504772,-1.2391665873767395,-0.6357649248545882,0.4419422139661026,733
Ridge,linear,0.01,0.08622483857813863,0.15938588499829381,0.5409816470201338,-0.45650695047220324,0.9427983565328293,733
