model,family,preprocess,fit_predict_sec,auc,accuracy,ic_mean,ic_std,icir,rankic_mean,rankic_std,rankicir,n_days,top1pct_ret,top3pct_ret,top5pct_ret,top10pct_ret,top1pct_hit,top3pct_hit,top5pct_hit,top10pct_hit
CatBoost-reg,gbdt,raw,41.97,0.5349659619753513,0.6012434199550623,0.06284480955389923,0.10237319792291223,0.6138795195322689,0.05223551198586476,0.13880744607146506,0.3763163537997183,733,0.01619688621005955,0.009516340837952608,0.008030704029921067,0.006786512337225384,0.4882150074582042,0.48075097844744225,0.48125041172491484,0.4843126723080337
LightGBM-shallow-reg,gbdt,raw,43.84,0.5356933282787518,0.6012434199550623,0.05820758680003002,0.11225415162296438,0.5185339335647539,0.048605806529747435,0.14746351391474796,0.32961242574110616,733,0.01420510078741219,0.008880929430240306,0.0076603845391232704,0.00667635258338832,0.4817683395266507,0.4797123903303611,0.48131369610745695,0.4849831952675017
LightGBM-conservative-reg,gbdt,raw,85.42,0.5426244729388763,0.6012434199550623,0.056835575210157294,0.11643793765267908,0.48811904741641204,0.047963709512102264,0.14753645724792674,0.32509733801932045,733,0.014051894537059371,0.008263337073945476,0.007030410898429525,0.006316167318466046,0.4742478116140786,0.47409074437589027,0.4777511993842492,0.4824978425868335
LightGBM-std-reg,gbdt,raw,56.02,0.5359084910257412,0.6012434199550623,0.055861690128679815,0.11685840100327666,0.4780288763930073,0.04664778104472609,0.14703128017195086,0.31726433307369845,733,0.014482409132284973,0.008531552599038462,0.007290234197745692,0.0065508633530430875,0.479161488567678,0.4775240162851973,0.47969121131852427,0.483785465176612
XGBoost-reg,gbdt,raw,27.4,0.5413249186194102,0.6012434199550623,0.0580643778079226,0.11485787581758056,0.5055324016277433,0.04518931799463043,0.1493873679086489,0.3024975848176395,733,0.015614851179904179,0.009066654572925133,0.00776876325111986,0.006602397252257693,0.47967177234068886,0.4757663309309299,0.47837164707383006,0.4821130189374226
Ridge,linear,zscore,6.43,0.5547943092320385,0.6012434199550623,0.036232766432722295,0.12448888884774778,0.2910522117121283,0.04395214864412069,0.14643808594688595,0.300141512776003,733,0.005727404513242548,0.005987499788565863,0.0059133413225767525,0.005828578193290763,0.46416476846576654,0.47178724686272216,0.47518969491057067,0.4812396446923029
RandomForest-reg,gbdt,raw,105.02,0.5508725648767161,0.6012434199550623,0.051550473731864666,0.11802776824961349,0.4367656399538291,0.04438966274255735,0.1503563964263365,0.29522962639175115,733,0.012269383256879719,0.008238228069085442,0.007060933072293142,0.006374080918555384,0.47149611072207465,0.4734845049157674,0.4756559825075727,0.47911683349158957
TCN-reg,sequence,zscore,58.21,0.5709260850396164,0.6033359133126935,0.034572905755894376,0.13348410725992974,0.25900391039490234,0.030775029489167324,0.15251417596021968,0.20178471473493967,724,0.011434042669948545,0.007023412146587221,0.005910999419336018,0.005756881783086213,0.4700736648250461,0.4674248843183682,0.46775915231406756,0.4736392234993169
FT-Transformer-reg,tabular_dl,standard,636.64,0.5247610895198929,0.6012434199550623,0.0316336641264183,0.12938520524107106,0.244492127731902,0.03077600219553163,0.15850883468265112,0.19415953853391163,733,0.008511803917782277,0.006589372808295669,0.005976355680077869,0.005608622792019695,0.4562472840637557,0.46368620315677633,0.4649889558139701,0.46914169717423276
ALSTM-reg,sequence,zscore,50.18,0.5586629428490748,0.6033359133126935,0.025703863941520775,0.1399268512522141,0.18369500715191756,0.029890372255405636,0.16841578380996416,0.17747963747348722,724,0.0007660066220078122,0.0034758135246849295,0.004196808474168949,0.004735911853105581,0.4474677716390424,0.45774077126246443,0.46454220692694687,0.46962717536773685
Momentum-5d,factor,raw,0.04,0.48226597796393383,0.6008462212882867,-0.026791455046874635,0.12477790496807352,-0.2147131341380485,-0.03837040059550831,0.1533033221701973,-0.25029073116177813,733,-0.008575835397959124,-0.005833729775860734,-0.0037011874924283363,-0.0009262063209928819,0.38198895328930516,0.3968977478348721,0.4096421177652904,0.42992964694321
TabNet-reg,tabular_dl,zscore,1370.7,0.5239546372390202,0.6012434199550623,-0.012349995328534726,0.059863000282345376,-0.20630431602635446,-0.01783873306293484,0.05972978270391526,-0.29865725698957746,425,0.0027813220317357743,0.004442059057989134,0.004958411808992951,0.004651887764230583,0.47635751531062803,0.4830803074653329,0.4825090958076203,0.48042903339371346
EMA-slope,factor,raw,0.03,0.481356562633971,0.5708685481838544,-0.04086360362644284,0.14228161485515034,-0.28720227604981846,-0.06778773935624272,0.1610495413851697,-0.42091234022281404,733,-0.010759919936423739,-0.007308266252250253,-0.00526594923900277,-0.0023591990340397764,0.3802871780541056,0.38918761165174637,0.3989533095051571,0.4165226806110084
Rel-Strength,factor,raw,0.04,0.4949336334203177,0.599219091093024,-0.03946734216042649,0.13157075441660773,-0.29997047851117786,-0.06280234683711594,0.14530404762461027,-0.43221333379070337,733,-0.010198870355770006,-0.0071103540264679695,-0.005147065581252748,-0.0024861533006411835,0.386507863171897,0.3952330820859429,0.40378873283259425,0.4197817287137374
