,mean_abs_shap
roc_20,0.003649719043495047
board_rank_20d_pct,0.00364080925330679
board_rs_20d,0.0035428190803472857
bias_60_vr,0.002234804735424978
bias_60,0.0018401079502650042
ma60_slope,0.001810051181795647
ema30_slope_vr,0.0017325487699345584
ema180_slope,0.0015848959792269218
momentum_change,0.0014773785941570384
ma30_slope,0.0014768607201908906
ret_1d_minus_5d,0.0013992363940533755
ret_1d,0.001215657118900791
ret_1d_minus_3d,0.0011974477330372742
ret_3d_minus_10d,0.0010950129129854026
ret_10d,0.001065955613521734
ret_3d,0.0008173886671121087
ma180_slope,0.0006843048147759394
ema60_slope,0.0005156805061176964
ema30_slope,0.0005046929164324727
ema90_slope,0.0005028034580177661
ret_5d,0.0003643441506313717
