,mean_abs_shap
bias_60_vr,0.003673639135766993
bias_60,0.0031340057134051362
board_rs_20d,0.0026198844570821814
roc_20,0.0018976780937446439
ma30_slope,0.0017573540599455462
board_rank_20d_pct,0.001557233081905462
ret_10d,0.001347803189104671
ma60_slope,0.0012947872830570018
momentum_change,0.0011864738279241886
ema90_slope,0.0009543451986945559
ret_3d,0.0009342135196889858
ret_1d,0.0008607657552899985
ret_1d_minus_5d,0.000778151838913363
ema30_slope_vr,0.000627436225343871
ema180_slope,0.0005649526981405084
ema60_slope,0.0005176351831949905
ma180_slope,0.00046756163203405646
ret_3d_minus_10d,0.0003714091698389121
ema30_slope,0.00033473926709030215
ret_5d,0.00031533116421721043
ret_1d_minus_3d,0.000260202114791304
