,mean_abs_shap
board_rs_20d,0.005291961095290966
board_rank_20d_pct,0.004785853195087472
roc_20,0.0032646638099565984
ema30_slope_vr,0.002016038534882223
bias_60,0.0017189744556415359
ema30_slope,0.0016862336286179887
ma60_slope,0.0016568546209089824
ret_1d,0.0014680680454298822
ema180_slope,0.0012064733200758638
bias_60_vr,0.0011714958946628636
ret_3d_minus_10d,0.0011396090732002679
ret_3d,0.0010942066631087005
ret_10d,0.0010725002462196724
momentum_change,0.0010283507766742385
ema60_slope,0.0009058990557526407
ret_1d_minus_3d,0.0008885737974019501
ma30_slope,0.0008864884434165244
ret_5d,0.0008070506349868806
ma180_slope,0.0007824539694359865
ema90_slope,0.0006694841746095528
ret_1d_minus_5d,0.00046706338024645085
