,mean_abs_shap
roc_20,0.004232902478695587
board_rank_20d_pct,0.001966990055261156
board_rs_20d,0.001862185371868249
ret_1d_minus_5d,0.001505470742873208
ma30_slope,0.0013798061250528241
ma60_slope,0.0013782608151885422
ema30_slope_vr,0.0013699830060040247
ema180_slope,0.001324204850022997
momentum_change,0.0010412920569096106
ret_1d_minus_3d,0.0009877458186516137
ret_10d,0.0008775867836216368
ret_1d,0.000853447244325176
ret_3d_minus_10d,0.0007583837048614557
ma180_slope,0.0007468742333162486
ret_3d,0.0006267390566855283
ema30_slope,0.0004941753374836576
bias_60_vr,0.00045078216557103995
ret_5d,0.00039668855741466783
ema90_slope,0.00036118053766881627
bias_60,0.00028831813619255563
ema60_slope,0.00014625499230337905
