,mean_abs_shap
bias_60_vr,0.0016102883126720244
ma60_slope,0.0012521097257972996
roc_20,0.001188430207950556
ma30_slope,0.001168151292022731
ema30_slope_vr,0.0011043011612137136
ret_10d,0.0010466905302127898
momentum_change,0.0010330026537462573
ema90_slope,0.0009763205956858965
ret_1d,0.0009542925103234785
ret_1d_minus_5d,0.0008231543409154893
bias_60,0.0008013337622835218
board_rank_20d_pct,0.0007631230167484625
ema30_slope,0.0006931838675804275
ret_3d,0.0006570552837889447
board_rs_20d,0.0005338981573082851
ema180_slope,0.0004690189154449733
ema60_slope,0.0003639818122080676
ma180_slope,0.00034139279759637793
ret_3d_minus_10d,0.00027548788216153445
ret_5d,0.0002221385115122569
ret_1d_minus_3d,0.00015706549478161045
