,mean_abs_shap
board_rs_20d,0.0025867253412672395
roc_20,0.00175934835938532
board_rank_20d_pct,0.0014894561087589106
ret_1d,0.0013785753000508545
ema30_slope_vr,0.0013526889715125426
ma60_slope,0.0013500951075718956
bias_60_vr,0.0010659551343366793
momentum_change,0.0010653317959184725
ema30_slope,0.0010429243704355763
bias_60,0.0009961908982940666
ret_3d,0.0009917440693948457
ret_10d,0.000940574995865142
ret_1d_minus_3d,0.0008399460134910699
ma30_slope,0.0008153471750605998
ret_3d_minus_10d,0.0007427901951689806
ema180_slope,0.0007077020392842838
ema60_slope,0.0006197187642978491
ret_1d_minus_5d,0.0004965848405044831
ret_5d,0.0004818232616946594
ma180_slope,0.00047139157874699514
ema90_slope,0.00036050947170038314
